id,entityType,retentionDays,description,updatedAt,updatedBy
1,users,60,Deleted user accounts retained for 90 days before permanent deletion,1770501015415,1080332
2,organizations,365,Deleted organizations retained for 1 year before permanent deletion,1770500727000,1
3,operating_units,365,Deleted operating units retained for 1 year before permanent deletion,1770500727000,1
4,rbac_roles,180,Deleted RBAC roles retained for 180 days before permanent deletion,1770500727000,1
5,option_sets,180,Deleted option sets retained for 180 days before permanent deletion,1770500727000,1
6,audit_logs,,Audit logs are never deleted (regulatory compliance),1770500727000,1
