id,bidAnalysisId,supplierId,bidderName,submissionDate,submissionStatus,bidReference,bidDate,totalBidAmount,currency,technicalScore,financialScore,combinedScore,rank,isResponsive,nonResponsiveReason,isSelected,remarks,createdAt,updatedAt
1,1,,Essa Saleh for Contracting,2026-01-28 00:00:00,received,BID-001,,42000.00,USD,85.00,85.42,85.13,2,1,,0,,2026-02-07 11:50:00,2026-02-07 11:55:22
2,1,,Nabhan Sifan Contracting Office,2026-01-29 00:00:00,received,BID-002,,38500.00,USD,78.00,93.19,82.56,3,1,,0,,2026-02-07 11:50:44,2026-02-07 11:55:22
3,1,,WTCG Company,2026-01-30 00:00:00,received,BID-003,,35878.00,USD,92.00,100.00,94.40,1,1,,1,,2026-02-07 11:51:21,2026-02-07 11:56:06
