id,name,nameAr,code,startDate,endDate,status,isCurrent,closedAt,closedBy,notes,organizationId,operatingUnitId,isDeleted,deletedAt,deletedBy,createdBy,createdAt,updatedAt,lockStatus,lockedAt,lockedBy
1,Fiscal Year 2025,السنة المالية 2025,FY2025,2025-01-01 00:00:00,2025-12-31 00:00:00,closed,0,,,,30001,,0,,,,2026-02-02 01:25:43,2026-02-02 01:25:43,open,,
2,Fiscal Year 2026,السنة المالية 2026,FY2026,2026-01-01 00:00:00,2026-12-31 00:00:00,open,1,,,,30001,,0,,,,2026-02-02 01:25:43,2026-02-02 01:25:43,open,,
